FILE,raw_amp,a_open,a_close,X-UA-Compatible,viewport,anchor_open,anchor_close,unmatched_open,unmatched_close,changed
polldaddy3.htm,0,5,5,0,1,5,5,0,0,no
pollider.htm,0,6,6,0,1,6,6,5,0,yes
ponatia.htm,0,5,5,0,1,5,5,0,0,no
pop2.htm,0,0,0,0,1,0,0,0,0,no
popovu.htm,0,2,2,0,1,2,2,0,0,no
poros_rabota.htm,0,1,1,0,1,1,1,0,0,no
pppp.htm,0,2,2,0,1,2,2,1,0,yes
pr_glob.htm,0,1,1,0,1,1,1,0,0,no
predki.htm,0,3,3,0,1,3,3,0,0,no
preziden.htm,0,6,6,0,1,6,6,0,0,no
probl.htm,0,0,0,0,1,0,0,0,0,no
r_t.htm,0,3,3,0,1,3,3,0,0,no
r_zamerl.htm,0,1,1,0,1,1,1,0,0,no
raschir.htm,0,0,0,0,1,0,0,0,0,no
raspech.htm,0,1,1,0,1,1,1,0,0,no
rassvet.htm,0,1,1,0,1,1,1,0,0,no
rio-1992.htm,0,0,0,0,1,0,0,0,0,no
rod.htm,0,1,1,0,1,1,1,0,0,no
rol_ooh.htm,0,3,3,0,1,3,3,0,0,no
romans.htm,0,0,0,0,1,0,0,0,0,no
ru_obval.html,0,1,1,0,1,1,1,0,0,no
ru_unit.html,0,1,1,0,1,1,1,0,0,no
runaz.htm,0,23,23,0,0,23,23,21,0,yes
russia.htm,0,8,8,0,1,8,8,2,0,yes
rvsn_besm.htm,0,1,1,0,1,1,1,0,0,no
s_s.htm,0,3,3,0,1,3,3,0,0,no
s_s_krug.htm,0,2,2,0,1,2,2,0,0,no
s_vojnov.htm,0,1,1,0,1,1,1,0,0,no
sablin.htm,0,1,1,0,1,1,1,0,0,no
schaste.htm,0,0,0,0,1,0,0,0,0,no
schest.htm,0,4,4,0,1,4,4,1,0,yes
school.htm,0,0,0,0,1,0,0,0,0,no
school13.htm,0,0,0,0,1,0,0,0,0,no
sema.htm,0,1,1,0,1,1,1,0,0,no
semya.htm,0,0,0,0,1,0,0,0,0,no
serg.htm,0,0,0,0,1,0,0,0,0,no
sistema.htm,0,22,22,0,1,22,22,11,0,yes
sit_slip99.html,0,0,0,0,1,0,0,0,0,no
skolko.htm,0,1,1,0,1,1,1,0,0,no
sluchj.htm,0,1,1,0,1,1,1,0,0,no
sobes.htm,0,0,0,0,1,0,0,0,0,no
solouch.html,0,0,0,0,1,0,0,0,0,no
sos.htm,0,2,2,0,1,2,2,0,0,no
soz-energy.htm,0,0,0,0,1,0,0,0,0,no
spez.htm,0,2,2,0,1,2,2,0,0,no
ssilki.htm,0,39,39,0,1,39,39,0,0,no
sskr.htm,0,3,3,0,1,3,3,0,0,no
status.htm,0,0,0,0,1,0,0,0,0,no
stenford.htm,0,0,0,0,1,0,0,0,0,no
stichi.htm,0,0,0,0,1,0,0,0,0,no
sumerki.htm,0,0,0,0,1,0,0,0,0,no
sys.htm,0,6,6,0,1,6,6,2,0,yes
sz.htm,0,26,26,0,1,26,26,14,0,yes
tal_int.html,0,0,0,0,1,0,0,0,0,no
texnic.htm,0,21,21,1,1,21,21,0,0,no
tezisi.html,0,0,0,0,1,0,0,0,0,no
troy.htm,0,0,0,0,1,0,0,0,0,no
ukaz.htm,0,0,0,0,1,0,0,0,0,no
untitled.html,0,0,0,0,0,0,0,0,0,no
uran.htm,0,6,6,0,1,6,6,0,0,no
v-s-t.htm,0,0,0,0,1,0,0,0,0,no
v2000.html,0,0,0,0,1,0,0,0,0,no
v_solouh.html,0,0,0,0,1,0,0,0,0,no
v_vlasti.htm,0,0,0,0,1,0,0,0,0,no
vad1977.htm,0,3,3,0,1,3,3,0,0,no
vad\index.htm,0,2,2,0,1,2,2,0,0,no
values.htm,0,5,5,0,1,5,5,1,0,yes
vb.htm,0,1,1,0,1,1,1,0,0,no
verner.htm,0,0,0,0,1,0,0,0,0,no
vlasty.htm,0,1,1,0,1,1,1,1,0,yes
vm_1.htm,0,0,0,0,1,0,0,0,0,no
voina.htm,0,2,2,0,1,2,2,0,0,no
voina99.html,0,0,0,0,1,0,0,0,0,no
vojna.htm,0,0,0,0,1,0,0,0,0,no
vor.htm,0,2,2,0,1,2,2,1,0,yes
vvn.htm,0,0,0,0,1,0,0,0,0,no
yakovlev.htm,0,2,2,0,1,2,2,1,0,yes
yandex_7b337f5cb078cb5f.html,0,0,0,0,0,0,0,0,0,no
yandex_d2022e026a371133.html,0,0,0,0,0,0,0,0,0,no
za_prot.html,0,0,0,0,1,0,0,0,0,no
zagadki.htm,0,0,0,0,1,0,0,0,0,no
zena1985.htm,0,1,1,0,1,1,1,0,0,no
zigmund.htm,0,1,1,0,1,1,1,0,0,no
